district,district_value,mandal,mandal_value,village,village_value,property_type
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,A.KOTHAVALASA,0306300,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Addategela,0306203,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Ananthagiri,0306078,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,BOODI,0306098,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bailaguda,0306072,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Baliyaguda,0306256,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Ballagaruvu,0306231,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Ballamamidi,0306057,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Banda Konda,0306236,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Banda Valasa,0306252,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bangarampeta,0306116,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Banjoda,0306176,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bembi,0306267,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bhagamarivalasa,0306261,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bhalluguda,0306134,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bheemavaram,0306029,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bheesupuram,0306008,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Billakamba,0306210,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Billakota,0306028,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bodaguda,0306063,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Boddaputtu,0306206,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bonduguda,0306007,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bondyaguda,0306004,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bongija,0306045,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Bonuru,0306185,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Boringuvalasa,0306020,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Borrapalem,0306219,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Buddigaruvu,0306197,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Buliyaguda,0306034,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Buruga,0306044,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Burugulapadu,0306159,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Busipadu,0306143,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chappadi,0306011,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chatakamba,0306218,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Cheedi Valasa,0306058,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Cheedi Valasa,0306118,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Cheedi Valasa,0306146,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Cheedigaruvu,0306189,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Cheedimetta,0306229,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Cherukubidda,0306274,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Cherukumadata,0306130,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chhedivalasa,0306290,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chilakalagedda,0306109,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chimiti,0306154,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,China Buruga,0306221,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,China Konela,0306047,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,China Rabha,0306041,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chindugulapadu,0306222,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chinta Paka,0306228,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chintalapalem,0306242,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chippapalle,0306031,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chittam Valasa,0306131,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chittampadu,0306036,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Chittamvalasa,0306191,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,DAYARTI,0306233,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Dabbalapadu,0306100,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Dabbalapalem,0306107,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Damasala Valasa,0306169,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Damsarai,0306117,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Damuku,0306087,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Damuku Rai,0306162,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Dandabadu,0306122,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Dekkapuram,0306012,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Dhanukonda,0306139,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Dibbapalem,0306244,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Diguva Kambavalasa,0306124,urban
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,06,Diguva Mallelu,0306149,urban
